Product,Ascra,Librax,Adexar,Elatus Era,Aviator,Vertisan,Keystone,Azole
Curative,good,good,good,good,moderate,moderate,moderate,poor
Protectant,very good,very good,very good,very good,very good,good,good,moderate
Persistance,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate
